Key,Context,Source,en-us
Studio.App.TeamTestManager.DisconnectedFromTeamTestServer,Disconnect from TeamTest Server,You have been disconnected from the team test server.,You have been disconnected from the team test server.
Studio.App.TeamCreateLoaders.Join,,Join,Join
Studio.App.TeamCreateLoaders.ReturnToPrevious,,Return to Previous,Return to Previous
Studio.App.TeamCreateLoaders.NoPreviousLocation,,No Previous Location,No Previous Location
Studio.App.TeamCreateLoaders.EditingPrivateScript,,Editing a Private Script,Editing a Private Script
Studio.App.TeamCreateLoaders.LoadingStatus,,Loading...,Loading...
Studio.App.TeamCreateUserData.FailToRestoreCameraPosition1,,Failed to restore camera position: {{}},Failed to restore camera position: {{}}
Studio.App.AssetAccess.ShareOutputMessage1,,The experience doesn't have access permission to use asset id %1. Click to share access,The experience doesn't have access permission to use asset id %1. Click to share access
Studio.App.AssetAccess.ShareOutputMessageToolTip,,Share access to asset(s),Share access to asset(s)
Studio.App.AssetAccess.ShareOutputMessageUnavailable,,Asset access sharing unavailable,Asset access sharing unavailable
Studio.App.Debugger.PausedForDebugging,,Rendering is paused for debugging...,Rendering is paused for debugging...
Studio.App.RobloxDocManager.NoToggleBetweenDMsWhilePaused,Explain why click through message doesn't work,You cannot open a script from one data model while debugger is paused on a different data model.,You cannot open a script from one data model while debugger is paused on a different data model.
Studio.App.RobloxDocManager.NoScriptChanges,,No script changes.,No script changes.
Studio.App.RobloxDocManager.StartPage,,Start Page,Start Page
Studio.App.RobloxDocManager.ApplyingScriptEdits,,Applying script edits...,Applying script edits...
Studio.App.Restart.RestartLater,restart studio later,Restart Later,Restart Later
Studio.App.Restart.RestartNow,restart studio right now,Restart,Restart
Studio.App.Error.Publishing.Dependancies,,Error publishing asset dependancies,Error publishing asset dependancies
Studio.App.UpdateUIManager.PublishTcDocToDiffSlot,,Publish Team Create Document to a different slot,Publish Team Create Document to a different slot
Studio.App.UpdateUIManager.SaveTcDocToDiffSlot,,Save Team Create Document to a different slot,Save Team Create Document to a different slot
Studio.App.UpdateUIManager.Scheduler,Object used to schedule jobs,Scheduler,Scheduler
Studio.App.UpdateUIManager.Cores,CPU Core Count,Cores,Cores
Studio.App.UpdateUIManager.Chat,,Chat,Chat
Studio.App.UpdateUIManager.PublishToRobloxToElps,,Publish to Roblox To...,Publish to Roblox To...
Studio.App.UpdateUIManager.SaveToRobloxToElps,,Save to Roblox To...,Save to Roblox To...
Studio.App.UpdateUIManager.ViewChatWindow,,View Chat Window,View Chat Window
Studio.App.CorruptedInstallationDialog.DefaultMessage,,Some Studio files are missing or corrupted. Please reinstall Studio by following the instructions at https://en.help.roblox.com/hc/en-us/articles/203312910?fromStudio=true,Some Studio files are missing or corrupted. Please reinstall Studio by following the instructions at https://en.help.roblox.com/hc/en-us/articles/203312910?fromStudio=true
Studio.App.RobloxViewStudio.SelectUILayer1,,"Select UI Layer ""%1""","Select UI Layer ""%1"""
Studio.App.RobloxViewStudio.ExitUiLayer,,Exit UI Layer,Exit UI Layer
Studio.App.RobloxViewStudio.SelectUiLayer,,Select UI Layer,Select UI Layer
Studio.App.RobloxViewStudio.UseWorldSpace,,Use World Space,Use World Space
Studio.App.RobloxViewStudio.UseLocalSpace,,Use Local Space,Use Local Space
Studio.App.StudioSerializerHelper.ErrorSavingFile2,,Error saving file '%1' - %2,Error saving file '%1' - %2
Studio.App.IDEPermissionsResolutionLinkDefinition.ExperienceSuccessMessage1,Message that's output after user sucessfully grants their experience permission to use asset,Successfully granted the experience permission to use asset %1,Successfully granted the experience permission to use asset %1
Studio.App.IDEPermissionsResolutionLinkDefinition.PermissionsResolutionNotAvailable,,Permissions Resolution not available,Permissions Resolution not available
Studio.App.IDEPermissionsResolutionLinkDefinition.OpenPermissionsResolution,,Open Permissions Resolution,Open Permissions Resolution
Studio.App.IDEPermissionsResolutionLinkDefinition.AssetInfo3,,"Name: %1
AssetId: %2
Type: %3","Name: %1
AssetId: %2
Type: %3"
Studio.App.FindReplaceWindow.NoResults,,No Results Found,No Results Found
Studio.App.FindReplaceWindow.OneResultOneFile,,1 result in 1 file,1 result in 1 file
Studio.App.FindReplaceWindow.ResultsOneFile1,,%1 results in 1 file,%1 results in 1 file
Studio.App.FindReplaceWindow.ResultsPerFile2,,%1 results in %2 files,%1 results in %2 files
Studio.App.FindReplaceWindow.WhereToLook,,Where to look,Where to look
Studio.App.FindReplaceWindow.AllScripts,,All Scripts,All Scripts
Studio.App.FindReplaceController.AreYouSureYouWantToReplaceAll,,"Are you sure you want to replace all? 
This action cannot be undone.","Are you sure you want to replace all? 
This action cannot be undone."
Studio.App.FindReplaceController.FindAllReplaceAll,,Find All / Replace All,Find All / Replace All
Studio.App.FindReplaceOpenAndLockScriptsDialog.LockingScriptsElps,,Locking Scripts...,Locking Scripts...
Studio.App.FindReplaceOpenLockedScriptsDialog.Script,,Script,Script
Studio.App.FindReplaceOpenLockedScriptsDialog.Editor,,Editor,Editor
Studio.App.FindReplaceOpenLockedScriptsDialog.StringCouldNotBeReplacedInAllScripts,,String could not be replaced in all scripts.,String could not be replaced in all scripts.
Studio.App.FindReplaceOpenLockedScriptsDialog.UnableToReplaceWhileScriptsBlocked,,"Unable to replace while one or more Scripts are being blocked by other users. 
Try again when all scripts are unlocked.","Unable to replace while one or more Scripts are being blocked by other users. 
Try again when all scripts are unlocked."
Studio.App.IDEGameSettingsLinkDefinition.GameSettingsNotAvailable,,Game Settings not available,Game Settings not available
Studio.App.IDEGameSettingsLinkDefinition.OpenGameSettings,,Open Game Settings,Open Game Settings
Studio.App.IDEScriptLinkDefinition.MalformedLink,,Malformed link,Malformed link
Studio.App.IDEScriptLinkDefinition.SourceNotAvailable,,Source not available,Source not available
Studio.App.PlaceSessionTaskRegister.CreatingDataModel,This message is shown in a dialog while the place is opening,Creating data model...,Creating data model...
Studio.App.PlaceSessionTaskRegister.LoadingDataModel,This message is shown in a dialog while the place is opening,Loading data model...,Loading data model...
Studio.App.PlaceSessionTaskRegister.InitializingPlugins,status message displayed while loading plugins is displayed in a dialog while a place is opening,Initializing plugins...,Initializing plugins...
Studio.App.PlaceSessionTaskRegister.OpenPlaceSuccess,This message is shown in a dialog when the place is opened successfully,Opening Roblox Studio...,Opening Roblox Studio...
Studio.App.PlaceSessionTaskRegister.OpenPlaceCancelled,This message is shown in a dialog when the place opening is cancelled,Returning to start page...,Returning to start page...
Studio.App.BreakpointTooltip.BreakpointLocationFmt2,,"Location: %1, line %2","Location: %1, line %2"
Studio.App.BreakpointTooltip.ConditionText,,Condition,Condition
Studio.App.BreakpointTooltip.LogExpressionText,,Log Expression,Log Expression
Studio.App.BreakpointTooltip.ContinueExecutionText,,Continuing Execution,Continuing Execution
Studio.App.BreakpointTooltip.DisabledForCurrentContext,,Disabled For Current Context,Disabled For Current Context
Studio.App.ScriptCommandHandler.OpenScriptFile,,Open Script File,Open Script File
Studio.App.Tooltip.Variadic,,Variadic,Variadic
Studio.App.Tooltip.GoToSource,,Go to source,Go to source
Studio.App.ExceptionPopup.Title,Appears when an exception paused execution in the debugger,Exception Hit,Exception Hit
Studio.App.AddImageDialog.Image,,Image:,Image:
Studio.App.AddImageDialog.ChooseFile,,Choose File,Choose File
Studio.App.AddImageDialog.ImageFileRequired,,Image file is required,Image file is required
Studio.App.AddImageDialog.FileDoesNotExist,,File does not exist,File does not exist
Studio.App.AddImageDialog.ChooseImageUpload,,Choose image to upload,Choose image to upload
Studio.App.AddImageDialog.CreateAssetName,,Creating asset name...,Creating asset name...
Studio.App.ImagePickerWidget.AddImageElps,,Add Image...,Add Image...
Studio.App.GradientEditor.Time,,Time,Time
Studio.App.PopupImagePicker.Url,Displayed as a label in the popup image picker,URL:,URL:
Studio.App.PopupImagePicker.Search,Displayed as a label in the popup image picker,Search:,Search:
Studio.App.AddAttributeDialog.AttributeName,Displayed to the left of attribute name line edit.,Name,Name
Studio.App.AddAttributeDialog.AttributeType,Displayed to the left of attribute type combo box,Type,Type
Studio.App.AddAttributeDialog.AttributeAlreadyExists,Displayed when adding an attribute and entering a name that exists.,Attribute already exists.,Attribute already exists.
Studio.App.AddAttributeDialog.AttributeCantStartWithRBX,Displayed when adding a new attribute in the Add Attribute dialog.,Can't start with 'RBX'.,Can't start with 'RBX'.
Studio.App.AddAttributeDialog.ContainsIllegalCharacter,Displayed when an attribute contains special characters or an underscore,Contains illegal character(s).,Contains illegal character(s).
Studio.App.AttributeRenameDialog.AttributeTryDifferentName,Displayed when editing an attribute and entering a name that exists.,Try to use a different name.,Try to use a different name.
Studio.App.AttributeRenameDialog.AttributeNameAlreadyExists,Displayed when renaming an attribute and entering a name that exists.,Attribute name already exists.,Attribute name already exists.
Studio.App.AttributeRenameDialog.AttributeNameCantStartWithRBX,Displayed when editing and trying to add RBX at the beginning.,Attribute name can't start with 'RBX'.,Attribute name can't start with 'RBX'.
Studio.App.AttributeRenameDialog.AttributeNameExceeds1,Displayed when exceeding maximum charecters while editing.,Attribute name exceeds %1 characters.,Attribute name exceeds %1 characters.
Studio.App.AttributeRenameDialog.AttributeLengthAndSuggestion2,"Displayed when exceeding maximum characters while editing, along with AttributeNameExceeds1",Current name length is: %1. Try to use a name within %2 characters.,Current name length is: %1. Try to use a name within %2 characters.
Studio.App.AttributeRenameDialog.AttributeNameCantBeEmpty,Displayed when trying to commit an empty attribute while editing.,Attribute name cannot be empty.,Attribute name cannot be empty.
Studio.App.AttributeRenameDialog.AttributeContainsIllegalCharacters,Displayed when entering an illegal character while renaming an attribute,Attribute contains illegal character(s).,Attribute contains illegal character(s).
Studio.App.AttributeRenameDialog.AttributeAlphanumberic,Displayed when entering an illegal character while renaming an attribute,Attributes can only contain alphanumeric characters and underscores.,Attributes can only contain alphanumeric characters and underscores.
Studio.App.InstanceSelectionEditor.ClearValue,,Clear Value,Clear Value
Studio.App.InstanceSelectionEditor.SelectValue,,Select Value,Select Value
Studio.App.RobloxPropertiesWidget.ItemCount1,,%1 items,%1 items
Studio.App.RobloxPropertiesWidget.FilterPlaceholder1,,Filter Properties %1,Filter Properties %1
Studio.App.RobloxPropertiesWidget.ItemsCount2,,%1 - %2 items,%1 - %2 items
Studio.App.RobloxPropertiesWidget.ItemsCount3,,"%1 ""%2"" - %3 items","%1 ""%2"" - %3 items"
Studio.App.SplineEditor.Envelope,,Envelope,Envelope
Studio.App.SplineEditor.Time,,Time,Time
Studio.App.GoToLineDialog.LineNumber,,Line number:,Line number:
Studio.App.MLCodeAssistanceController.EmptyCodeSuggestionReceived,,Empty code suggestion received.,Empty code suggestion received.
Studio.App.MLCodeAssistanceController.NoCodeSuggestionReceived,,No code suggestion received.,No code suggestion received.
Studio.App.MLCodeAssistanceController.InsufficientLinesPrompt,,"Code Assist can save you time!
Start by writing some code to set the context, and you will get suggestions when you stop typing.","Code Assist can save you time!
Start by writing some code to set the context, and you will get suggestions when you stop typing."
Studio.App.MLCodeAssistanceController.InsufficientLinesPromptShortcutFmt1,,You can also use %1 at any time to request a suggestion.,You can also use %1 at any time to request a suggestion.
Studio.App.SnippetVerifier.PackNameTooLongFmt2,,"Snippet pack name (%1) is too long, shouldn't be longer than %2","Snippet pack name (%1) is too long, shouldn't be longer than %2"
Studio.App.SnippetVerifier.PackDespTooLongFmt2,,"Snippet pack description (%1) is too long, shouldn't be longer than %2","Snippet pack description (%1) is too long, shouldn't be longer than %2"
Studio.App.SnippetVerifier.SnippetIdTooLongFmt2,,"Snippet name (%1) is too long, shouldn't be longer than %2","Snippet name (%1) is too long, shouldn't be longer than %2"
Studio.App.SnippetVerifier.SnippetDespTooLongFmt2,,"Snippet description (%1) is too long, shouldn't be longer than %2","Snippet description (%1) is too long, shouldn't be longer than %2"
Studio.App.SnippetVerifier.SnippetPrefixTooLongFmt2,,"Snippet prefix (%1) is too long, shouldn't be longer than %2","Snippet prefix (%1) is too long, shouldn't be longer than %2"
Studio.App.SnippetVerifier.SnippetPrefixInvalidCharFmt1,,"Invalid character in prefix (%1), it can only be  '_', number, or letter.","Invalid character in prefix (%1), it can only be  '_', number, or letter."
Studio.App.DocumentationView.Overload,,+1 overload,+1 overload
Studio.App.DocumentationView.Overload.Plural1,%1 is an integer. example '+2 overloads',+%1 overloads,+%1 overloads
Studio.App.DocumentationView.Copied,,Copied!,Copied!
Studio.App.DocumentationView.ShowCodeSample,,Show Code Example,Show Code Example
Studio.App.DocumentationView.HideCodeSample,,Hide Code Example,Hide Code Example
Studio.App.DocumentationView.LearnMore,,Learn more,Learn more
Studio.App.DocumentationView.Overloads,,overloads,overloads
Studio.App.FindDialog.LineNumber1,,Line number (1-%1):,Line number (1-%1):
Studio.App.FindDialog.FindCount2,,%1 of %2,%1 of %2
Studio.App.ScriptComboBox.RunACommand,,Run a command,Run a command
Studio.App.ColorPreviewWidget.InvalidArgumentsTooltip,,Invalid arguments to Color3 constructor,Invalid arguments to Color3 constructor
Studio.App.TemplatesPage.AllTemplates,Templates page tab,All Templates,All Templates
Studio.App.TemplatesPage.TeamCreate,,Team Create,Team Create
Studio.App.MyGamesPage.GroupGames,,Group Games,Group Games
Studio.App.MyGamesPage.GamesInvitedToEdit,,"Games that you have
been invited to edit","Games that you have
been invited to edit"
Studio.App.MyGamesPage.SharedWithMe,,Shared With Me,Shared With Me
Studio.App.CurrentlyEditingWindow.CurrentlyEditing,,Currently Editing,Currently Editing
Studio.App.GameWidget.Public,,Public,Public
Studio.App.GameWidget.Private,,Private,Private
Studio.App.GameWidget.LocalFile,,Local File,Local File
Studio.App.GameWidget.TemplateHasInstruction,,This template contains instructions about how to get started in Studio,This template contains instructions about how to get started in Studio
Studio.App.GameWidget.ExperienceAgeRestricted,Title for column inicating if place is restricted to 17+ aged users.,Ages 17+,Ages 17+
Studio.App.GameWidget.Draft,,Draft,Draft
Studio.App.GameGridViewWithHeader.Sort,,Sort:,Sort:
Studio.App.GameGridViewWithHeader.Refresh,,Refresh,Refresh
Studio.App.GameGridViewWithHeader.Owner,,Owner:,Owner:
Studio.App.TemplatePage.Gameplay,,Gameplay,Gameplay
Studio.App.TemplatePage.Theme,,Theme,Theme
Studio.App.RecentGamesPage.RecentGames,,Recent Games,Recent Games
Studio.App.ShareModal.By1,,By %1,By %1
Studio.App.ShareModal.CopyLink,,Copy Link,Copy Link
Studio.App.ShareModal.LinkCopied,,Link Copied,Link Copied
Studio.App.ShareModal.Failed,,Failed,Failed
Studio.App.ShareModal.ShareGame,,Share Game,Share Game
Studio.App.ShareModal.ShareWithRobloxFriends,,Share with Roblox Friends,Share with Roblox Friends
Studio.App.ShareModal.Shared,,Shared,Shared
Studio.App.ShareModal.SearchPlaceholderText,,Search for friends,Search for friends
Studio.App.ShareModalInfoBox.MakeGamePublicToShare,,Make your game public to share it,Make your game public to share it
Studio.App.TabTooltip.ReplaceTooltipText,,"Replace tooltip text by
setting text property","Replace tooltip text by
setting text property"
Studio.App.TemplatePageController.Baseplate,,Baseplate,Baseplate
Studio.App.TutorialPage.Title,Tutorial Tab in Start Page,Tour,Tour
Studio.App.TutorialPage.TabTitle,Tour Tab in Start Page,Tour,Tour
Studio.App.TutorialPage.Header,,Learn the fundamentals of Studio,Learn the fundamentals of Studio
Studio.App.TutorialPage.SubHeaderText,,Learn the Studio interface and main controls in a few easy steps to start creating on Roblox!,Learn the Studio interface and main controls in a few easy steps to start creating on Roblox!
Studio.App.TutorialPage.OpenTemplate,,Start with a Template instead,Start with a Template instead
Studio.App.TutorialPage.StartTour,,Start Tour,Start Tour
Studio.App.TutorialPage.RestartTour,,Restart Tour,Restart Tour
Studio.App.TutorialBanner.GetStartedText,,Get Started,Get Started
Studio.App.TutorialBanner.TakeTheStudioTourText,,Take the Studio Tour,Take the Studio Tour
Studio.App.TutorialBanner.StartTourText,, START TOUR , START TOUR 
Studio.App.TutorialBanner.OpenTutorialsText,, OPEN TUTORIALS , OPEN TUTORIALS 
Studio.App.TutorialBanner.CreateYourFirstProjectText,,Create your first project in Studio with our quick introductory tour.,Create your first project in Studio with our quick introductory tour.
Studio.App.TutorialBanner.LearnWithTutorialsText,,Learn with tutorials,Learn with tutorials
Studio.App.TutorialBanner.ContinueYourJourneyText,,"Continue your journey with our tutorials, and discover how to build and script complete experiences in Studio.","Continue your journey with our tutorials, and discover how to build and script complete experiences in Studio."
Studio.App.TutorialBanner.LearnStudioText,, LEARN STUDIO , LEARN STUDIO 
Studio.App.AuthenticationHelper.AuthFailedTryAgain,,Authentication failed. Please try again or contact support if the problem persists.,Authentication failed. Please try again or contact support if the problem persists.
Studio.App.AuthenticationHelper.AuthFailedTimeout,,Could not authenticate user. Request timed out.,Could not authenticate user. Request timed out.
Studio.App.StartPageDocumentPanel.StartPage,,Start Page,Start Page
Studio.App.ScriptSetting.KeepTheseChanges,,You've made script changes while playing.  Would you like to keep these changes?,You've made script changes while playing.  Would you like to keep these changes?
Studio.App.ScriptSetting.AlwaysSave,,Always Save,Always Save
Studio.App.BetaFeature.SmoothVoxelsTitle,,Smooth Voxels,Smooth Voxels
Studio.App.BetaFeature.SmoothVoxelsDescription,,Enable the terrain upgrade changing the way voxels are rendered to make them much smoother in cases where there were terracing issues and LOD artefacts before. (NOTE: Requires Upgrade Shorelines!),Enable the terrain upgrade changing the way voxels are rendered to make them much smoother in cases where there were terracing issues and LOD artefacts before. (NOTE: Requires Upgrade Shorelines!)
Studio.App.Settings.FolderSelectionDialogTitle,,Select folder to save Roblox documents,Select folder to save Roblox documents
Studio.App.Settings.SelectFolderMessageBoxText,,"Need a location to store local files.
Do you want to pick a file path now?","Need a location to store local files.
Do you want to pick a file path now?"
Studio.App.RobloxKeyboardConfig.ClearShortcut,,Clear Shortcut,Clear Shortcut
Studio.App.RobloxMouseConfig.ContextMenu,,Context Menu,Context Menu
Studio.App.RobloxMouseConfig.RightClick,,Right Click,Right Click
Studio.App.RobloxMouseConfig.RightClickShift,,Right Click + Shift,Right Click + Shift
Studio.App.RobloxMouseConfig.RightClickAlt,,Right Click + Alt,Right Click + Alt
Studio.App.RobloxMouseConfig.RightClickCtrl,,Right Click + Ctrl,Right Click + Ctrl
Studio.App.RobloxKeyboardConfigWidget.SearchActions,,Search Actions,Search Actions
Studio.App.RobloxKeyboardConfigWidget.Name,,Name,Name
Studio.App.RobloxKeyboardConfigWidget.Shortcut,,Shortcut,Shortcut
Studio.App.RobloxKeyboardConfigWidget.Description,,Description,Description
Studio.App.DataModelLoading.CannotOpenFileForRead,Failed to open file during open place process,Cannot open place file for reading.,Cannot open place file for reading.
Studio.App.CommandLine.InvalidArgument2,,Launch Task %1 requires valid %2,Launch Task %1 requires valid %2
Studio.App.DataModelLifeCycle.GameIsGoneWhileLoadingDM,Game has disappeared during the dm loading process,Game has disappeared while loading dm (client).,Game has disappeared while loading dm (client).
Studio.App.DataModelLifeCycle.ProcessingAeroMeshes,Shown during aerodynamic mesh generation,Processing aerodynamic meshes,Processing aerodynamic meshes
Studio.App.DataModelLifeCycle.AeroMeshPleaseWait,Waiting for aerodynamic mesh generation to complete,Please Wait,Please Wait
Studio.App.RobloxSettingsDialog.RestartForSettingsChanges,,Some of these setting changes will not take effect until you restart Studio,Some of these setting changes will not take effect until you restart Studio
Studio.App.RobloxSettingsDialog.ReopenForSettingsChanges,,Some of these setting changes will not take effect until you reopen the place file,Some of these setting changes will not take effect until you reopen the place file
Studio.App.RobloxSettingsDialog.ResetAllSettings,,Reset All Settings,Reset All Settings
Studio.App.RobloxSettingsDialog.ResetSettingsTitle,,Reset Settings,Reset Settings
Studio.App.RobloxSettingsDialog.ResetSettingsText,,Resetting settings will not take effect until you restart Roblox,Resetting settings will not take effect until you restart Roblox
Studio.App.RobloxSettingsDialog.SettingsSearch,,Search...,Search...
Studio.App.RobloxSettingsDialog.SaveChanges,,Save Changes,Save Changes
Studio.App.RobloxSettingsDialog.SettingsModificationWarning,,<p>Changing settings may make Roblox unstable.</p><p>We recommend that you don't change any non-Studio settings unless instructed to do so by a Roblox engineer.</p>,<p>Changing settings may make Roblox unstable.</p><p>We recommend that you don't change any non-Studio settings unless instructed to do so by a Roblox engineer.</p>
Studio.App.SettingsHeader.Diagnostics,,Diagnostics,Diagnostics
Studio.App.SettingsHeader.Physics,,Physics,Physics
Studio.App.SettingsHeader.Studio,,Studio,Studio
Studio.App.SettingsHeader.Network,,Network,Network
Studio.App.SettingsHeader.Rendering,,Rendering,Rendering
Studio.App.SettingsHeader.TaskScheduler,,Task Scheduler,Task Scheduler
Studio.App.SettingsHeader.ScriptEditor,,Script Editor,Script Editor
Studio.App.SettingsHeader.Selection,,Selection,Selection
Studio.App.SettingsHeader.GameOptions,,Game Options,Game Options
Studio.App.FileSyncService.CanOnlyParentToFolder,,Can only parent to Folder.,Can only parent to Folder.
Studio.App.FileSyncService.InstanceAlreadyExists,,Instance already exists.,Instance already exists.
Studio.App.FileSyncService.FileNameIsInvalid,,File name is invalid.,File name is invalid.
Studio.App.FileSyncService.CanOnlyAddSupportedClass,,"Can only add Folder, Script, LocalScript, ModuleScript or StringValue.","Can only add Folder, Script, LocalScript, ModuleScript or StringValue."
Studio.App.FileSyncService.UnknownError,,Unknown Error.,Unknown Error.
Studio.App.RemoteDebugger.ColumnAssetId,,Asset Id,Asset Id
Studio.App.RemoteDebugger.ColumnPath,,Path,Path
Studio.App.RemoteDebugger.Messages,,Messages,Messages
Studio.App.RemoteDebugger.AddRow,,Add Row,Add Row
Studio.App.RemoteDebugger.RemoveRow,,Remove Row,Remove Row
Studio.App.RemoteDebugger.ErrorDuplicateId,,Duplicate Asset ID,Duplicate Asset ID
Studio.App.RemoteDebugger.ErrorAssetMissing,,Asset not found or not accessible to ContentProvider,Asset not found or not accessible to ContentProvider
Studio.App.RemoteDebugger.Title,,Remote Debugging,Remote Debugging
Studio.App.Deployment.PatchBuilderFailure1,Internal feature. Text in output window.,Failed to initialize patch builder with: %1,Failed to initialize patch builder with: %1
Studio.App.FlagEditor.OfferRestartTitle,,Overrides Saved,Overrides Saved
Studio.App.FlagEditor.OfferRestart,,You must restart Studio for fast flag changes to take effect.,You must restart Studio for fast flag changes to take effect.
Studio.App.BrowserServiceController.Hidden,,(Hidden),(Hidden)
Studio.App.BrowserServiceController.OSNotUpToDate,,"Your OS is not up to date, some functions may not be fully supported","Your OS is not up to date, some functions may not be fully supported"
Studio.App.DocTabManager.CloseTabsRight,,Close Tabs to the Right,Close Tabs to the Right
Studio.App.DocTabManager.CloseTabsOther,,Close Other Tabs,Close Other Tabs
Studio.App.DocTabManager.CloseTab,,Close Tab,Close Tab
Studio.App.ResetLayoutSettingsTitle,,Reset Layout Settings,Reset Layout Settings
Studio.App.ResetLayoutSettingsText,,Resetting layout requires restarting Studio,Resetting layout requires restarting Studio
Studio.App.ForceResetLayoutSettingsTitle,,Dock Layout Error,Dock Layout Error
