Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.Ribbon.Plugin.Setting_Label,,,Label,Label,,Beschriftung,Etiqueta,Étiquette,Label,Etichetta,ラベル,레이블,Etykieta,Marcador,,Label,Etiket,Nhãn,,,標籤
Studio.Ribbon.Plugin.Setting_Frame,,,Frame,Frame,,Bild,Cuadro,Cadre,Frame,Frame,フレーム,프레임,Klatka,Quadro,,เฟรม,Çerçeve,Khung Hình,,,框架
Studio.Ribbon.Plugin.Setting_Input,,,Input,Input,,Eingabe,Entrada,Entrée,Input,Input,入力,입력,Wejście,Entrada,,อินพุต,Giriş,Đầu Vào,,,輸入
Studio.Ribbon.Plugin.Setting_Layout,,,Layout,Layout,,Layout,Diseño,Mise en page,Tata Letak,Layout,レイアウト,레이아웃,Układ,Layout,,เค้าโครง,Düzen,Bố Cục,,,配置
Studio.Ribbon.Plugin.Setting_Format,,,Format,Format,,Format,Formato,Format,Format,Formato,フォーマット,서식 지정,Format,Formato,,รูปแบบ,Biçimlendir,Định Dạng,,,格式
Studio.Ribbon.Plugin.Setting_Find,,,Find,Find,,Finden,Buscar,Trouver,Cari,Trova,探す,찾기,Znajdź,Localizar,,ค้นหา,Bul,Tìm,,,尋找
Studio.Ribbon.Plugin.Tooltip_Constraint,,,Create a new physics constraint or attachment,Create a new physics constraint or attachment,,Neue physikalische Einschränkung oder neuen Befestigungspunkt erstellen,Crea una nueva restricción física o accesorio,Créer une nouvelle contrainte physique ou un attachement,Buat constraint atau sambungan fisika baru,Crea un nuovo vincolo o allegato fisico,新しい物理拘束またはアタッチメントを作成,새로운 물리적 제약 또는 연결부 만들기,Utwórz nowe ograniczenie fizyczne lub punkt zaczepienia,Crie uma nova restrição física ou anexo,,สร้างฟิสิกส์ Constraint หรือจุดเชื่อมต่อใหม่,Yeni fizik kısıtlaması ya da eklentisi oluştur,Tạo một ràng buộc vật lý hoặc điểm gắn mới,,,建立新的物理限制式或附件
Studio.Ribbon.Plugin.Setting_Effect,,,Effect,Effect,,Effekt,Efecto,Effet,Efek,Effetto,エフェクト,효과,Efekt,Efeito,,เอฟเฟกต์,Efekt,Hiệu Ứng,,,效果
Studio.Ribbon.Plugin.Setting_UIConstraint,,,Constraint,Constraint,,Beschränkung,Restricción,Contrainte,Constraint,Vincolo,拘束,제약,Ograniczenie,Restrição,,Constraint,Kısıtlama,Ràng Buộc,,,限制式
Studio.Ribbon.Plugin.Geometric,,,Geometric,Geometric,,Geometrisch,Geométrico,Géométrique,Geometrik,Geometrico,ジオメトリ,기하학,Geometryczne,Geométrica,,เรขาคณิต,Geometrik,Hình học,,,幾何
Studio.Ribbon.Plugin.Physical,,,Physical,Physical,,Physikalisch,Físico,Physique,Fisik,Fisico,物理,물리적,Fizyczne,Física,,กายภาพ,Fiziksel,Vật Lý,,,物理
Studio.Ribbon.Plugin.Tooltip_Mode,,,Toggle between transforming objects geometrically or with physics simulation,Toggle between transforming objects geometrically or with physics simulation,,Umschalten zwischen geometrischen oder physikalischen Simulationen von Objekten,Alterna entre transformar objetos geométricamente o con simulación de física,Basculer entre la transformation des objets géométrique et la simulation physique,Beralih antara mengubah objek secara geometris atau dengan simulasi fisika,Alterna la trasformazione degli oggetti geometricamente o con la simulazione fisica,オブジェクトを幾何学的に変形させるか物理シミュレーションで変形させるかを切りかえ,개체를 기하학적으로 또는 물리 시뮬레이션을 전환할지 선택,Możesz przełączać pomiędzy geometryczną transformacją obiektów oraz symulacją fizyczną,Alternar entre transformar objetos geometricamente ou com simulação de física,,เปิด/ปิดระหว่างการแปรสภาพวัตถุแบบเรขาคณิตกับการจำลองฟิสิกส์,Nesnelerin geometrik olarak mı fizik simülasyonu ile mi dönüştürüleceğini seç,Chuyển đổi giữa biến đổi các đối tượng bằng hình học hoặc mô phỏng vật lý,,,在物體幾何變形或物理模擬之間切換
Studio.Ribbon.Plugin.Tooltip_Group,,,Group selected parts into a new container,Group selected parts into a new container,,Ausgewählte Teile in einen neuen Container gruppieren,Agrupa las piezas seleccionadas en un nuevo contenedor,Grouper les pièces sélectionnées dans un nouveau conteneur,Kelompokkan komponen yang dipilih ke dalam kontainer baru,Raggruppa le parti selezionate in un nuovo container,選択済みのパーツを新規コンテナの中でグループ化,선택한 파트를 새 컨테이너로 그룹화,Grupuje zaznaczone części w ramach nowego kontenera,Agrupe as peças selecionadas em um novo recipiente,,จัดกลุ่มส่วนประกอบที่เลือกไปยังตัวบรรจุใหม่,Seçili parçaları yeni bir kapsayıcıda gruplandır,Nhóm các bộ phận đã chọn thành một bộ chứa mới,,,將選取的零件組合成新容器
Studio.Ribbon.Plugin.Tooltip_Script,,,Create a Script in the selected object,Create a Script in the selected object,,Ein Skript im ausgewählten Objekt erstellen,Crear un Script en el objeto seleccionado,Créer un script dans l'objet sélectionné,Buat Skrip di objek yang dipilih,Crea uno script nell'oggetto selezionato,選択したオブジェクトでスクリプトを作成,선택한 개체에서 스크립트 만들기,Utwórz skrypt w ramach zaznaczonego obiektu,Crie um script no objeto selecionado,,สร้างสคริปต์ในวัตถุที่เลือก,Seçili nesnede bir betik oluştur,Tạo Kịch bản trong đối tượng đã chọn,,,在選取的物件中建立指令碼
Studio.Ribbon.Plugin.StudsFormat,,,{amount} studs,{amount} studs,,{amount} Noppen,{amount} studs,{amount} tenons,{amount} kotak,{amount} stud,{amount} マス,스터드 {amount}개,{amount} study(-ów),{amount} quadrículas,,{amount} Stud,{amount} birimkare,{amount} stud,,,{amount} 個磚塊
Studio.Ribbon.Plugin.DegreesFormat,,,{amount}°,{amount}°,,{amount}°,{amount}°,{amount}°,{amount}°,{amount}°,{amount}°,{amount}°,{amount}°,{amount}°,,{amount}°,{amount}°,{amount}°,,,{amount}°
Studio.Ribbon.Plugin.SocialPresence_Collaborate,,,Collaborate,Collaborate,,Zusammenarbeiten,Colaborar,Collaborer,Berkolaborasi,Collabora,共同作業,공동 작업,Współpraca,Colaborar,,ทำงานร่วมกัน,Ortak Çalışma,Cộng tác,协作,协作,合作
Studio.Ribbon.Plugin.ShowHideLabels,,,Show/Hide labels,Show/Hide labels,,Beschriftungen ein-/ausblenden,Mostrar/Ocultar etiquetas,Afficher/Masquer les étiquettes,Tampilkan/Sembunyikan label,Mostra/nascondi etichette,ラベルの表示/非表示,레이블 표시/숨기기,Pokaż/ukryj etykiety,Mostrar/Ocultar rótulos,,แสดง/ซ่อน Label,Etiketleri göster/gizle,Hiện/ẩn nhãn,,,顯示/隱藏標籤
Studio.Ribbon.Plugin.ShowHideRibbon,,,Show/Hide ribbon,Show/Hide ribbon,,Multifunktionsleiste ein-/ausblenden,Mostrar/Ocultar cinta,Afficher/Masquer le ruban,Tampilkan/Sembunyikan ribbon,Mostra/nascondi barra,リボンの表示/非表示,리본 표시/숨기기,Pokaż/ukryj wstążkę,Mostrar/ocultar barra,,แสดง/ซ่อนริบบิ้น,Şerit menüyü göster/gizle,Hiện/ẩn băng công cụ,,,顯示/隱藏功能區
Studio.Ribbon.Actions.AdGui,,,AdGui,AdGui,,AdGui,AdGui,AdGui,AdGui,AdGui,AdGui,AdGui,AdGui,AdGui,,AdGui,AdGui,AdGui,,,AdGui
Studio.Ribbon.Actions.UIFlexItem,,,UIFlexItem,UIFlexItem,,UIFlexItem,UIFlexItem,UIFlexItem,UIFlexItem,UIFlexItem,UIFlexItem,UIFlexItem,UIFlexItem,UIFlexItem,,UIFlexItem,UIFlexItem,UIFlexItem,,,UIFlexItem
Studio.Ribbon.Plugin.Setting_Appearance,,,Appearance,Appearance,,Erscheinungsbild,Apariencia,Apparence,Penampilan,Aspetto,外観,외형,Wygląd,Aparência,,รูปลักษณ์,Görünüm,Giao Diện,,,外觀
Studio.Ribbon.Plugin.PlayersFormat,,,{amount} players,{amount} players,,{amount} Spieler,{amount} jugadores,Joueurs {amount},{amount} pemain,{amount} giocatori,{amount} 人のプレイヤー,플레이어 {amount}명,Liczba graczy: {amount},{amount} jogadores,,ผู้เล่น {amount} คน,{amount} oyuncu,{amount} người chơi,,,{amount} 名玩家
Studio.Ribbon.Actions.LaunchTestMode,,,Launch Test Mode,Launch Test Mode,,Testmodus starten,Modo de prueba de lanzamiento,Lancer le mode test,Mulai Mode Pengujian,Avvia modalità di test,テストモードを起動,테스트 모드 실행,Uruchom tryb testowy,Lançar modo de testes,,เปิดโหมดการทดสอบ,Test modunu başlat,Khởi Chạy Chế Độ Thử Nghiệm,,,啟動測試模式
Studio.Ribbon.Plugin.Setting_AddClients,,,Add Clients,Add Clients,,Clients hinzufügen,Añadir clientes,Ajouter des clients,Tambahkan Klien,Aggiungi client,クライアントを追加,클라이언트 추가,Dodaj klienty,Adicionar clientes,,เพิ่มไคลเอนต์,İstemci ekle,Thêm Máy Khách,,,新增用戶端
Studio.Ribbon.Plugin.Setting_ResumeMode,,,Resume,Resume,,Fortsetzen,Reanudar,Reprendre,Lanjutkan,Riprendi,再開,재개,Wznów,Retomar,,เล่นต่อ,Sürdür,Tiếp Tục,,,繼續
Studio.Ribbon.Plugin.AddClientsTooltip,,,Add Clients to the existing test session,Add Clients to the existing test session,,Clients zur bestehenden Testsitzung hinzufügen,Añadir clientes a la sesión de prueba existente,Ajouter des clients à la session de test existante,Tambahkan Klien ke sesi pengujian yang ada,Aggiungi client alla sessione di test esistente,既存のテストセッションにクライアントを追加,기존 테스트 세션에 클라이언트를 추가하세요,Dodaj klienty do istniejącej sesji testowej,Adicionar clientes à sessão de teste existente,,เพิ่มไคลเอนต์ไปยังเซสชันการทดสอบที่มีอยู่,Mevcut test oturumuna İstemci ekle,Thêm Máy Khách vào phiên thử nghiệm hiện tại,,,在現有測試作業階段新增用戶端
Studio.Ribbon.Plugin.Setting_StepForwardMode,,,Step Forward,Step Forward,,Schritt vorwärts,Paso adelante,Avancer,Melangkah Maju,Manda avanti,前進,스텝 포워드,Krok do przodu,Passo à frente,,Step Forward,İleri Adım,Tiến Về Trước,,,前進
Studio.Ribbon.Plugin.AddClients,,,Add Clients,Add Clients,,Clients hinzufügen,Añadir clientes,Ajouter des clients,Tambahkan Klien,Aggiungi client,クライアントを追加,클라이언트 추가,Dodaj klienty,Adicionar clientes,,เพิ่มไคลเอนต์,İstemci ekle,Thêm Máy Khách,,,新增用戶端
Studio.Ribbon.Plugin.Setting_PauseMode,,,Pause,Pause,,Pausieren,Pausar,Pause,Jeda,Metti in pausa,一時停止,일시 중지,Wstrzymaj,Pausar,,หยุดชั่วคราว,Duraklat,Tạm Dừng,,,暫停
Studio.Ribbon.Plugin.Setting_TestMode,,,Test Mode,Test Mode,,Testmodus,Modo de prueba,Mode de test,Mode Pengujian,Modalità di test,テストモード,테스트 모드,Tryb testowy,Modo de teste,,โหมดการทดสอบ,Test Modu,Chế Độ Thử Nghiệm,,,測試模式
Studio.Ribbon.Plugin.Setting_Test,,,Test,Test,,Test,Prueba,Test,Uji,Test,テスト,테스트,Test,Teste,,ทดสอบ,Test,Thử nghiệm,,,測試
Studio.Ribbon.Plugin.ReloadTabs,,,Reload Tabs,Reload Tabs,,Registerkarten neu laden,Recargar pestañas,Onglets de rechargement,Muat Ulang Tab,Ricarica schede,タブを再読み込み,탭 다시 불러오기,Wczytaj karty ponownie,Recarregar abas,,โหลดแท็บใหม่อีกครั้ง,Sekmeleri yeniden yükle,Tải Lại Các Thẻ,,,重新載入分頁
Studio.Ribbon.Plugin.ReloadTabsTooltip,,,"Reloads the Ribbon, using current configuration on disk","Reloads the Ribbon, using current configuration on disk",,Lädt die Multifunktionsleiste unter Verwendung der aktuellen Konfiguration auf der Festplatte neu,"Recarga la cinta, usando la configuración actual en el disco",Recharger le Ruban en utilisant la configuration actuelle sur le disque,"Memuat ulang Ribbon, menggunakan konfigurasi di disk saat ini","Ricarica la barra, utilizzando la configurazione corrente sul disco",ディスク上の現在の設定を使用してリボンを再読み込み,디스크의 현재 구성을 사용해 리본을 다시 불러옵니다,Wczytuje ponownie wstążkę zgodnie z bieżącą konfiguracją na dysku,Recarrega a barra de ferramentas usando a configuração atual no disco,,โหลด Ribbon ใหม่อีกครั้ง และใช้การกำหนดค่าปัจจุบันกับดิสก์,Diskteki mevcut yapılandırmayı kullanarak Şerit Menü'yü yeniden yükler,"Tải lại Ruy-băng, sử dụng cấu hình hiện tại trên ổ đĩa",,,重新載入功能區，使用目前磁碟上的設定
Studio.Ribbon.Plugin.PrintActions,,,Print Actions,Print Actions,,Aktionen ausgeben,Imprimir acciones,Imprimer les Actions,Cetak Action,Stampa azioni,,작업 인쇄,Drukuj działania,Imprimir ações,,ปรินต์แอ็คชัน,Eylemleri yazdır,In Hành Động,,,列印動作
Studio.Ribbon.Plugin.PrintActionsTooltip,,,Prints all actions to stdout as JSON,Prints all actions to stdout as JSON,,Gibt alle Aktionen an stdout als JSON aus,Imprime todas las acciones a stdout como JSON,Affiche toutes les actions sur stdout en JSON,Mencetak semua action di stdout sebagai JSON,Stampa tutte le azioni su stdout come JSON,,모든 작업을 stdout에 JSON으로 인쇄합니다,Drukuje wszystkie działania jako stdout do pliku JSON,Imprime todas as ações para stdout como JSON,,ปรินต์แอ็คชันทั้งหมดไปยัง stdout เป็น JSON,Tüm eylemleri stdout'a JSON olarak yazdır,In tất cả các hành động ra stdout dưới dạng JSON,,,將所有動作以 JSON 列印成 stdout
Studio.Ribbon.Plugin.Setting_TestingMode_Test,,,Test,Test,,Test,Probar,Test,Tes,Test,,테스트,Test,Teste,,ทดสอบ,Test et,Thử Nghiệm,,,測試
Studio.Ribbon.Plugin.Setting_TestingMode_TestHere,,,Test Here,Test Here,,Hier testen,Probar aquí,Tester ici,Tes di Sini,Esegui il test qui,,여기서 테스트하세요,Przetestuj tutaj,Testar aqui,,ทดสอบที่นี่,Burada test et,Thử Nghiệm Tại Đây,,,在此測試
Studio.Ribbon.Plugin.Setting_TestingMode_Run,,,Run,Run,,Ausführen,Ejecutar,Exécuter,Jalankan,Esegui,,실행,Uruchom,Correr,,Run,Çalıştır,Chạy,,,執行
Studio.Ribbon.Plugin.Setting_TestingMode_TeamTest,,,Team Test,Team Test,,Team-Test,Prueba de equipo,Test en équipe,Tes Tim,Test di squadra,,팀 테스트,Test zespołu,Teste em equipe,,การทดสอบเป็นทีม,Takım Testi,Thử Nghiệm Nhóm,,,隊伍測試
Studio.Ribbon.Plugin.Setting_TestingMode_ServerAndClients,,,Server and Clients,Server and Clients,,Server und Clients,Servidor y clientes,Serveur et clients,Server dan Klien,Server e client,,서버 및 클라이언트,Serwer i klienty,Servidor e clientes,,เซิร์ฟเวอร์และไคลเอนต์,Sunucu ve İstemciler,Máy Chủ và Máy Khách,,,伺服器與用戶端
Studio.Ribbon.Plugin.Setting_Anchor,,,Anchor,Anchor,,Anker,Anclar,Ancre,Jangkar,Ancora,,고정,Kotwiczenie,Âncora,,ตรึง,Sabitle,Neo,,,固定
Studio.Ribbon.Plugin.Setting_Lock,,,Lock,Lock,,Sperren,Bloquear,Verrouiller,Kunci,Blocca,,잠금,Zablokuj,Bloquear,,ล็อค,Kilitle,Khóa,,,鎖定
Studio.Ribbon.Plugin.DockUndockRibbon,,,Dock/Undock ribbon,Dock/Undock ribbon,,Multifunktionsleiste andocken/abdocken,,,Tambatkan/Lepaskan ribbon,,,도킹/도킹 해제 리본,,Afixar/desafixar a barra,,,Şerit menüyü yerleştir/çıkar,,,,固定/取消固定功能區
